类型,小类,编号,需求,需求描述（含规格）,验收标准,,,,,,,,,,,
功能需求,即时仿真功能需求,5.1.1,软件应提供面向CAD设计师的专用即时仿真用户界面,软件需具备专用即时仿真软件用户界面及全新数据结构交互逻辑等，支持模型管理及可视化、支持全局撤消重做、支持显示隐藏、支持快捷键定义、模型选取、多窗口等功能，满足零件和设计工程师结构设计优化需求。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持在安装页面内选择“即时仿真””自动化仿真”“精细仿真”组件，可三者同时安装；
2、支持基于XML文件的Ribbon界面自动构建，用户可以进行界面布局自定义设置，可以进行Ribbon功能面板的用户自定义配置、快捷键定义；
3、支持通过选择物理场类型或求解器类型的交互方式实现单一软件内，即时仿真分析流程和精细仿真分析流程的切换；
4、切换到精细仿真流程后，精细仿真的已有仿真功能依旧可用；
5、可以同时打开多个模型文件，多个模型文件可以同时独立提交仿真任务，多模型可以同时查看渲染结果；同时打开的多文档间可以复制、粘贴包含不限于模型、载荷、边界、相互作用等，支持多文档之间的比较包括不限于模型、载荷、边界、相互作用等；
6、支持高级视图管理操作，支持模型视角保存，重新打开后，显示视角与保存视角保持一致；支持根据材料等集合方式进行显示隐藏操作，支持不同的渲染方式，背景网格、原始几何显示效果；
7、支持通过鼠标右键的方式进行基于几何的边界、载荷加载；
8、在同时打开多个模型文件的场景下，每个文档支持Undo\Redo最大回退50步，支持用户自定义最大回退内存设置，默认为4G，如内存不足提示用户修改配置；
9、几何、网格、前处理、后处理操作数据均与用户设置的单位制保持一致；
10、几何、网格、前处理、后处理功能操作均支持输出脚本和脚本执行；
11、支持查看前处理写出的求解文件，并能进行本地或远程求解，后处理支持查看仿真结果。

验证过程：
以用户提供的3-5个典型模型为基础，按照以下操作步骤依次进行测试，以确认各项功能是否满足预期要求。
1、组件安装验证，在安装页面中勾选“即时仿真””自动化仿真”“精细仿真”模块，确认是否可单独或同时安装成功。
2、仿真流程切换验证，在软件主界面中，通过选择物理场类型或求解器方式进行“即时仿真””自动化仿真”“精细仿真”流程切换，验证是否切换顺畅，界面与参数配置正常。
3、功能继承性验证，在切换到“精细仿真”流程后，执行原有精细仿真功能操作（如网格划分、求解器配置），验证功能是否仍可正常使用。
4、多模型仿真验证，同时打开多个模型文件，为每个模型配置不同的仿真任务并独立提
交，验证任务是否可同时执行，结果是否可独立显示。
5、模型视角记忆验证在某模型中设置特定视角，保存并关闭软件，重新打开该模型，检查视角是否与保存前一致。
6、测试在锁定坐标平面下的模型拖动与旋转行为，确认能否自动屏蔽非必要的旋转操作。
7、右键加载功能验证，通过右键菜单在几何体上直接添加边界条件和载荷，验证是否支持基于几何实体的快捷设置方式。
8、操作回退功能验证，在多模型同时打开的情况下，对任一模型进行连续50次编辑操作，逐步执行Undo/Redo命令，检查回退功能是否在50步范围内有效。
9、单位制一致性验证，更改软件单位设置后，依次执行几何建模、网格划分、边界加载、结果查看等操作，验证所有数据是否自动适配当前单位制显示。
10、分别进行即时仿真和自动化仿真的几何、网格、前处理、后处理的全流程操作，输出脚本验证脚本输出功能，并执行脚本验证功能是否全部复现；
11、完成前处理设置后，分别在即时仿真和自动化仿真页面一键提交求解计算，在后处理界面查看即时仿真和自动化仿真结果。",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,5.1.2,即时仿真界面需支持模型处理、即时仿真、自动化仿真三个核心用户页面,"1、软件界面需集成模型处理、即时仿真、自动化仿真三个核心用户页面，需支持通过界面顶部切换按钮一键切换，保持数据一致性，流程无缝衔接。
2、需支持统一的操作树管理方式，支持层级化组织模型、载荷、材料等对象。","验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、在即时仿真界面中，支持模型处理页面，支持step、iges、x_t、prt格式的几何模型导入；支持几何清理（边界检测、干涉检查、自交检查、封闭性检查、小型边/面检查、封闭面生成体）、批量几何清理、几何修复（倒角/圆角去除、小孔去除、LOGO去除、破面修复、狭缝缝合）功能；支持几何建模功能，支持基于已有线、面的拉伸、旋转操作，支持布尔操作；支持自动四面体网格划分功能，划分失败后自动重新划分，直至网格划分成功；
2、支持即时仿真页面，支持即时结构仿真、即时热仿真、即时结构仿真、即时热应力仿真的前后处理交互操作，支持材料、坐标系、仿真设定、载荷、边界设置、相互作用、初始条件、结果输出；
3、支持自动化仿真主界面，支持常见的自动化仿真场景的列表显示，用户可以根据实际情况进行自动化仿真场景的选择和仿真模型构建，支持场景运行状态的显示； 
4、支持统一的操作树管理方式，支持层级化组织模型、物理场、载荷、材料等对象。

验证过程：
1、启动软件并加载验证模型，依次切换模型处理、即时仿真、精细化仿真、自动化仿真四个页面，检查模型数据是否同步更新、界面是否响应流畅；
2、在模型处理页面，测试几何模型导入、几何清理、批量几何清理、几何修复等几何编辑功能，测试拉伸、旋转、布尔操作等几何建模功能，测试自动四面体网格划分功能及划分失败后自动重新划分功能；
3、在即时仿真页面，分别进行即时热仿真、即时结构仿真、即时热应力仿真的前后处理交互操作，测试材料、坐标系、仿真设定、载荷、边界、相互作用、初始条件、结果输出的即时仿真全流程各项功能点；
4、在自动化仿真页面，导入模型后，列表显示自动匹配的对应场景，测试自动化仿真场景的选择和仿真模型构建功能，测试场景运行状态的显示功能；
5、切换模型处理、即时仿真、精细化仿真、自动化仿真四个页面，测试统一的操作树管理功能，测试模型、物理场、载荷、材料的层级化组织管理功能；当切换不同仿真场景出现参数设置不同的情况，用红色突出标记。",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,5.1.3,即时仿真多方案分析功能,即时仿真工具支持多方案分析，支持方案复制及修改，支持多方案结果对比分析。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
在即时仿真专用界面，支持方案复制及修改，支持多方案多窗口形式同步进行结果对比分析，支持云图、色带、探针、剖面、视角的多窗口同步操作。

验证过程：
1、在即时仿真专用界面，完成一次仿真分析后，判断方案合理性，并复制或新建一个方案，修改几何尺寸、材料、载荷等模型参数，进行新方案计算；验证是否支持支持多方案多窗口形式同步进行结果对比分析，是否支持云图、色带、探针、剖面、视角的多窗口同步操作；
2、计算后采用多窗口显示的方式对比两个方案指标差异，辅助验证方案设计合理性。",,,,,,,,,,,
,,5.1.4,交互式用户初次使用引导,支持交互式用户初次使用引导，通过交互式引导功能，可向用户快速介绍即时仿真流程，指导用户熟悉软件功能，并可快速上手操作软件。可以大幅降低人员学习曲线，新用户能快速上手完成仿真流程,"验证指标：
1、交互式用户初次使用引导界面，包含即时仿真界面功能介绍、即时仿真操作流程指导介绍、亮点案例（6个模型）展示、帮助文档跳转、宣传视频播放，指导用户熟悉软件功能，并可快速上手操作软件；
2、亮点案例展示、帮助文档跳转转（支持F1快捷键及界面右上角？图标跳转）、宣传视频播放页面打开响应速度在3s以内,支持功能按钮的鼠标悬浮提示，用户可选择关闭提示。

验证过程：
1、初次安装软件后，启动软件，打开即时仿真专用界面，自动弹出交互式用户初次使用引导界面，包含即时仿真界面功能介绍、即时仿真操作流程指导介绍、亮点案例（6个模型）展示、帮助文档跳转、宣传视频播放；
2、用户点击帮助文档跳转转（支持F1快捷键及界面右上角？图标跳转）、宣传视频播放页面打开响应速度在3s以内,支持功能按钮的鼠标悬浮提示，支持主要核心功能的详细提示和解释，用户可选择关闭提示，支持弹出窗口设置页面（比如背景网格设置页面等）控件的悬浮提示帮助用户更好理解功能。
3、亮点案例展示、帮助文档跳转、宣传视频播放页面打开响应速度在3s以内。",,,,,,,,,,,
,,5.1.5,视图立方体和快速视图功能,支持通过视图立方体工具自由调整工作视口方向，快速视图工具可以快速转至响应视图。通过立方体控制器快速切换视角，支持恢复默认视图。方便非专业用户快速定位模型方向。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
在模型区内构建具备3D导航功能的视图立方体，允许用户通过点击或拖动立方体的各个部分（面、边、角点）快速切换模型视角或旋转视图，功能覆盖：
1、面点击：切换到正交视图（前/后/左/右/上/下）；
2、边点击：以该边为轴旋转90°（如点击上边旋转到前视图）；
3、角点点击：切换到等轴测视图（如正等侧、斜二侧）。

验证过程：
1、导入真实模型，通过视图立方体面点击功能，视角快速切换到正交视图（前/后/左/右/上/下），验证功能可用性；
2、导入真实模型，通过视图立方体边点击功能，视角快速以该边为轴旋转90°（如点击上边旋转到前视图），验证功能可用性；
3、导入真实模型，通过视图立方体角点点击功能，视角切换到等轴测视图（如正等侧、斜二侧），验证功能可用性。",,,,,,,,,,,
,,5.1.6,背景网格尺寸设置与可视化功能,支持背景网格尺寸设置，提供标准、精细、极细的全局持背景网格设置，支持单个几何体背景网格尺寸进行单独设置，支持背景网格可视化。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。

验证指标：
1、支持背景网格尺寸设置，提供标准、精细、极细的全局背景网格设置，支持单个几何体背景网格尺寸进行单独设置；
2、支持三维背景网格可视化，包括背景网格的单独显示、隐藏、透明度控制，支持几何改动后背景网格的显示刷新。

验证过程：
1、导入真实模型，分别设置标准、精细、极细的全局背景网格尺寸设置，通过背景网格可视化功能进行查看；
2、导入真实模型，分别设置全局背景网格尺寸，以及对个别几何体设置局部背景网格尺寸，通过背景网格可视化功能进行查看；
3、打开背景网格可视化功能，进行背景网格的单独显示、隐藏、透明度控制等，调整全局背景网格尺寸，验证视图窗口中的背景是否实时更新。",,,,,,,,,,,
,,5.1.7,具备即时仿真结构求解功能,即时仿真求解器无需网格即可快速完成求解计算，满足设计师边设计边仿真核心诉求，算法性能指标达对标软件50%。,"验证模型：
以用户指定的3-5个真实模型作为该功能的验证模型。
模型包含几何边界包括不限于(自由度约束、力载荷、绑定）等（对应八叉树网格自适应加密算法）。

验证指标：
1、支持完备的分析类型包括稳态分析、瞬态分析、热及热应力分析，支持常用的边界载荷、相互作用等功能；
2、针对结构分析的5个即时仿真场景，验证边界几何和背景网格关系快速确定算法，求解日志中输出背景网格质量内容，包含填充率等信息；
3、针对结构分析的5个即时仿真场景，验证基于八叉树网格自适应加密的有限胞元法算法开发，求解日志中输出Dirichlet边界施加(自由度约束等)，信息，包含罚函数、拉格朗日、Nitsche等方法信息输出Neumann边界施加(力载荷等)，基于空间面域映射积分算法；目标合力值与数值积分解误差不超过5%，求解日志中输出背景网格的单元类型，包括非协调模式、混合模式，以及阶谱单元，求解日志中输出求解结果插值信息，求解结果包含几何体表面在不同加密级别下的几何面片拓扑信息及结果展示，几何体内基于背景网格直接插值，通过开关控制求解结果输出的详细程度，通过开关控制求解器日志信息输出级别；
4、针对结构分析的5个即时仿真场景，面向几何模型的结果后处理插值算法；
5、针对结构分析的5个即时仿真场景，用户单次提交计算后，背景网格生成1min以内，求解计算10min以内，加载仿真结果及渲染1min以内，可看到仿真结果，分析精度达到ANSYS Mechanical 2023R1版本的80%。

验证过程：
选取3-5个具有代表性的真实模型作为测试对象，模型包含典型的几何边界特征和多种常见约束、载荷类型（如自由度约束、力载荷、绑定关系等），适用于八叉树网格自适应加密算法的应用场景。
1. 模型导入与边界设定验证
将真实几何模型导入系统，能正确识别所有定义的约束、载荷和绑定区域，判断识别是否准确，关系确定是否满足指标要求。
2. 背景网格自动生成验证
根据识别的边界条件和几何特征，快速生成背景网格，重点观察生成速度及边界几何的覆盖情况。判断网格与边界匹配性是否满足指标要求。
3. 八叉树网格自适应加密验证
在模型中对自适应加密功能进行验证，观察网格细化效果及其在关键区域的分布。判断加密是否合理，细化是否覆盖了关键分析区域，验证是否满足指标要求。
4.点击提交求解任务，通过日志检查求解时间、载荷、边界条件是否满足指标要求。
5. 后处理展示与结果比对
完成计算后，执行结果后处理与可视化操作，检查应力云图、位移场、温度场等是否正常显示，并与已ANSYS Mechanical 2023R1结果进行比对，如图形趋势一致、误差是否在指标范围内等。",,,,,,,,,,,
